182changeratio,28changeratio,364changeratio,91changeratio,bonus,code,cps,debt2asset,eps,epsr,name,netprofit,netprofitdate,netprofitr,per,per_d,roe,symbol,vertical,vprofitdesc
82.01%,100.47%,79.96%,88.74%,--,,--,,-0.68,-230.77,,-37636.59,04-11-2014,-251.8,,,-9.85,,,
0.85%,-2.55%,-22.80%,-1.16%,--,,--,,-1.7,150,,-94299.64,04-09-2015,150.55,,,-30.48,,,
,,,,--,,--,,0.14,-108.24,,7554.82,02-28-2016,-108.01,,,2.84,,,
,,,,--,,--,,0.1,-28.57,,5585.45,04-10-2017,-26.07,,,2.05,,,
-16.36%,4.18%,-32.66%,-11.64%,--,600376,--,80.7887,0.45,583.46,首开股份,138024.67,08-30-2018,337.42,9.552,5.253,5.29,sh600376,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派2.4,,--,,0.73,27.83,,164776.55,04-09-2014,27.85,,,11.8,,,
1.99%,3.69%,-15.79%,-0.43%,--,,--,,0.89,21.47,,208349.28,04-27-2015,26.44,,,13.12,,,
,,,,10派3.5,,--,,0.58,-35.11,,190141.7,04-13-2016,-8.74,,,7.52,,,
,,,,10派6,,--,,0.73,26.13,,236277.78,04-14-2017,24.26,,,8.87,,,
-4.76%,3.87%,-6.30%,-2.56%,--,600377,--,38.8623,0.49,30.97,宁沪高速,248814.21,08-27-2018,30.98,12.426,10.676,9.82,sh600377,未分组-商贸业-传媒行业,沪宁高速 广靖高速及锡澄高速-房地产销售-广告及其他
82.01%,100.47%,79.96%,88.74%,10派3.8,,--,,0.51,-4.91,,257475.43,03-30-2014,-4.91,,,13.21,,,
16.13%,3.38%,17.18%,9.80%,10派4,,--,,0.5,-2.64,,250662.94,03-28-2015,-2.65,,,12.45,,,
,,,,10派4.2,,--,,0.66,33.48,,334606.39,03-27-2016,33.49,,,16.06,,,
,,,,10派4.4,,--,,0.71,7.23,,358786.19,03-26-2017,7.23,,,16.06,,,
-24.54%,8.59%,-24.54%,-8.16%,--,600378,--,24.2793,0.09,12.5,天科股份,2772.64,08-10-2018,19.68,51.2,47.963,3.43,sh600378,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.8,,--,,0.26,4,,7660.07,03-21-2014,2.64,,,11.11,,,
-7.99%,8.08%,-5.63%,3.49%,10派0.5,,--,,0.15,-42.31,,4321.31,03-18-2015,-43.59,,,5.96,,,
,,,,10派0.3,,--,,0.09,-40,,2711.12,03-11-2016,-37.26,,,3.66,,,
,,,,10派0.6,,--,,0.2,122.22,,5888.18,03-10-2017,117.19,,,7.64,,,
-27.16%,-1.60%,-44.25%,-11.22%,--,600379,--,33.4873,0.09,-8.33,宝光股份,2126.5,08-16-2018,-8.41,44.175,46.713,4.22,sh600379,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,0.09,8.58,,2030.23,03-03-2014,8.51,,,5.09,,,
-11.18%,-2.07%,-30.28%,0.04%,--,,--,,0.12,35.19,,2745.7,02-29-2015,35.24,,,6.52,,,
,,,,10派0.46,,--,,0.15,31.62,,3614.45,04-29-2016,31.64,,,7.98,,,
,,,,10派0.25,,--,,0.15,-0.26,,3604.12,04-10-2017,-0.29,,,7.44,,,
-27.29%,-16.15%,-6.95%,-13.88%,--,600380,--,35.8994,0.27,33.06,健康元,42574.18,08-25-2018,30.17,6.508,6.262,5.6,sh600380,商贸业-未分组-服务业,工商业-其他（补充）-服务业
82.01%,100.47%,79.96%,88.74%,10派1,,--,,0.23,29.49,,35423.88,03-31-2014,29.46,,,8.37,,,
-11.34%,-16.55%,16.37%,-2.95%,10派1,,--,,0.26,15.36,,41246.97,03-29-2015,16.44,,,9.21,,,
,,,,10派1.6,,--,,0.29,9.3,,45141.52,04-18-2016,9.44,,,9.31,,,
,,,,10派1.8,,--,,1.36,372.11,,213304.04,04-03-2017,372.52,,,33.73,,,
-34.53%,-1.25%,-46.08%,-28.74%,--,600381,--,4.9914,0.13,6.16,青海春天,8264.86,08-14-2018,-2.3,14.469,14.437,3.51,sh600381,传媒行业-未分组-酒业,广告业务-药用资源利用-酒业务
82.01%,100.47%,79.96%,88.74%,--,,--,,0.4,1845.85,,7935.66,01-31-2014,141.5,,,77.48,,,
-20.17%,-1.72%,-32.57%,-19.70%,--,,--,,0.56,40.39,,35757.6,04-19-2015,350.59,,,22.43,,,
,,,,--,,--,,0.36,-35.71,,24496.09,04-21-2016,-31.49,,,13.05,,,
,,,,--,,--,,0.49,36.11,,31168.45,04-16-2017,27.24,,,13.48,,,
-21.43%,-3.72%,-30.85%,-13.47%,--,600382,--,17.7504,0.39,8.33,广东明珠,18200.27,08-08-2018,8.87,13.845,13.227,3.51,sh600382,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.3,,--,,2.47,318.64,,84391.77,02-13-2014,319.09,,,40.65,,,
-4.20%,-4.18%,-13.52%,-2.49%,10派0.5,,--,,0.46,-81.38,,15717.26,03-12-2015,-81.38,,,6.12,,,
,,,,10派0.35,,--,,0.5,8.7,,17720.27,03-09-2016,12.74,,,6.14,,,
,,,,10派0.35,,--,,0.71,42,,33211.23,03-30-2017,87.42,,,6.73,,,
-25.84%,1.28%,-26.32%,-14.90%,--,600383,--,76.6331,0.53,103.85,金地集团,239479.64,08-30-2018,107.83,5.737,4.869,5.77,sh600383,房地产行业-物业服务-其他,房地产开发-物业管理-其他
82.01%,100.47%,79.96%,88.74%,10派1.3,,--,,0.89,9.88,,399745.11,03-21-2014,10.77,,,13.23,,,
-9.57%,0.80%,-7.86%,-4.10%,10派4.2,,--,,0.71,-20.22,,320035.04,04-23-2015,-19.94,,,9.86,,,
,,,,10派7,,--,,1.4,97.18,,630046.07,04-01-2016,96.87,,,17.84,,,
,,,,10派5.3,,--,,1.52,8.57,,684267.64,04-18-2017,8.61,,,17.62,,,
-20.02%,-12.17%,-37.93%,-0.32%,--,600385,--,64.3674,-0.04,100,山东金泰,-529.67,08-18-2018,102.07,-232.75,-152.623,-8.61,sh600385,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,0.25,38.89,,3628.95,04-25-2014,35.27,,,102.97,,,
-2.48%,-12.59%,-22.38%,12.33%,--,,--,,0.04,-84,,566.2,04-28-2015,-84.4,,,9.37,,,
,,,,--,,--,,0.02,-50,,233.3,04-26-2016,-58.8,,,3.19,,,
,,,,--,,--,,-0.04,-300,,-636.58,04-18-2017,-372.86,,,-8.94,,,
-27.54%,-4.17%,-48.63%,-18.98%,--,600386,--,61.0274,0.05,-16.67,北巴传媒,4003.96,08-29-2018,-11.64,26.692,28.678,2.2,sh600386,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派2.8,,--,,0.47,9.3,,18858.04,03-28-2014,8.23,,,11.49,,,
-11.65%,-4.62%,-35.76%,-8.70%,10派1.9,,--,,0.36,-23.4,,14612.94,03-26-2015,-22.51,,,8.47,,,
,,,,10派1.2转10,,--,,0.29,-19.44,,11773.41,03-18-2016,-19.43,,,6.68,,,
,,,,10派1,,--,,0.13,-55.17,,10285.68,03-28-2017,-12.64,,,5.74,,,
6.85%,13.08%,-21.99%,-6.12%,--,600387,--,68.327,0.49,16100,海越能源,22651.3,08-30-2018,22134.25,27.171,12.663,9.25,sh600387,商贸业-物流、运输业-未分组,产品销售-仓储收入-其他（补充）
82.01%,100.47%,79.96%,88.74%,10派1,,--,,0.29,81.25,,11123.23,04-28-2014,76.74,,,9.62,,,
30.29%,12.55%,-2.44%,5.79%,10派0.5,,--,,0.06,-79.31,,2299.74,03-31-2015,-79.32,,,1.81,,,
,,,,10派0.6,,--,,0.1,66.67,,4002.59,04-13-2016,74.04,,,3.1,,,
,,,,--,,--,,0.35,250,,13658.83,04-14-2017,241.25,,,10.48,,,
-28.89%,-10.63%,-40.44%,-23.19%,--,600388,--,71.443,0.23,9.52,龙净环保,25055.38,08-29-2018,11,14.956,14.512,5.42,sh600388,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派3.3送5转10,,--,,1.08,0.93,,46341.47,04-18-2014,1.47,,,15.67,,,
-13.29%,-11.05%,-25.52%,-13.44%,10派1.6,,--,,0.52,-51.85,,56014.87,04-28-2015,20.87,,,16.75,,,
,,,,10派1.9,,--,,0.62,19.23,,66390.73,04-29-2016,18.52,,,17.4,,,
,,,,10派2.1,,--,,0.68,9.68,,72432.66,04-12-2017,9.1,,,16.92,,,
11.98%,-0.05%,0.81%,0.10%,--,600389,--,40.4934,0.62,175.28,江山股份,18322.92,08-30-2018,175.31,24.967,17,11.32,sh600389,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派3.1,,--,,1.02,-33.37,,20175.93,03-31-2014,-33.37,,,15.77,,,
36.54%,-0.52%,26.07%,12.80%,10派0.3转5,,--,,0.05,-94.76,,1057.08,03-22-2015,-94.76,,,0.81,,,
,,,,10派0.53,,--,,0.18,230.34,,5238.04,04-18-2016,395.52,,,3.93,,,
,,,,10派2.6,,--,,0.84,375.23,,24898.77,04-24-2017,375.35,,,16.83,,,
-26.60%,3.60%,-45.37%,-8.47%,10派1.98,600390,--,70.0893,0.31,0.94,五矿资本,117300.39,08-30-2018,17.52,10.958,10.998,3.68,sh600390,租赁行业-证券行业,融资租赁业务-证券公司业务
82.01%,100.47%,79.96%,88.74%,--,,--,,-0.07,-376.92,,-2804.11,02-14-2014,-384.25,,,-3.07,,,
-10.50%,3.11%,-31.68%,3.14%,--,,--,,-0.89,1137.5,,-37038.73,04-28-2015,1220.87,,,-37.84,,,
,,,,--,,--,,3.45,-487.21,,155705.79,04-26-2016,-520.39,,,10.52,,,
,,,,--,,--,,0.71,-79.42,,247664.5,04-28-2017,59.06,,,8.54,,,
-27.99%,1.39%,-49.44%,-8.72%,--,600391,--,64.4734,-0.14,-275,航发科技,-4684.61,08-25-2018,-271.37,98.714,-167.11,-2.66,sh600391,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.3,,--,,0.09,-10,,2957.43,03-31-2014,-7.26,,,1.78,,,
-12.19%,0.91%,-36.77%,2.86%,10派0.3,,--,,0.1,11.11,,3162.55,03-29-2015,6.94,,,1.88,,,
,,,,--,,--,,0.13,30,,4255,04-01-2016,34.54,,,2.48,,,
,,,,10派0.3,,--,,0.14,7.69,,4687.39,04-03-2017,10.16,,,2.66,,,
-37.62%,-6.42%,-51.00%,-27.95%,--,600392,--,39.8485,0.11,-1.16,盛和资源,19446.44,07-27-2018,44.49,33.687,32.505,3.7,sh600392,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,0.51,30.77,,19227.12,03-25-2014,30.05,,,16.6,,,
-23.94%,-6.86%,-38.72%,-18.81%,--,,--,,0.02,-95.98,,1932.86,03-31-2015,-89.95,,,1.53,,,
,,,,10派0.2,,--,,-0.03,-270.24,,-3285.23,04-28-2016,-269.97,,,-2.76,,,
,,,,10派0.3转3,,--,,0.26,-856.16,,33654.69,03-29-2017,-1124.42,,,8.36,,,
-59.57%,-15.05%,-65.53%,-57.86%,--,600393,--,66.3086,0.22,-37.78,粤泰股份,56885.05,08-25-2018,-37.61,5.152,7.288,9.39,sh600393,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派1,,--,,0.21,162.5,,6154.39,01-27-2014,143.06,,,6.32,,,
-50.70%,-15.45%,-56.89%,-52.51%,10派1,,--,,0.22,4.76,,6450.95,04-19-2015,4.82,,,6.31,,,
,,,,10派0.4转10,,--,,0.13,-40.91,,14514.23,02-28-2016,124.99,,,3.32,,,
,,,,10派1.4,,--,,0.46,253.85,,116785.79,04-28-2017,704.63,,,21.76,,,
-11.82%,-4.12%,-30.37%,-6.68%,--,600395,--,46.1901,0.32,14.75,盘江股份,52756.28,08-29-2018,14.46,10.547,9.802,7.87,sh600395,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派1.6,,--,,0.19,-35.86,,30721.25,04-25-2014,-35.97,,,4.91,,,
7.52%,-4.57%,-12.92%,5.16%,10派0.1,,--,,0.01,-92.47,,2320.5,04-23-2015,-92.45,,,0.4,,,
,,,,10派2.4,,--,,0.12,742.86,,19602.28,04-22-2016,744.74,,,3.35,,,
,,,,10派3.5,,--,,0.53,349.15,,87724.95,04-27-2017,347.52,,,14.01,,,
-24.31%,-1.80%,-45.64%,-12.80%,--,600396,--,84.2966,-0.13,44.32,金山股份,-18517.46,08-24-2018,44.31,-3.584,-3.37,-7.12,sh600396,未分组-其他能源行业,公司管理总部 火力发电分部-新能源分部
82.01%,100.47%,79.96%,88.74%,10派1,,--,,0.32,-48.78,,27696.03,04-02-2014,28.29,,,14.23,,,
-7.71%,-2.26%,-32.02%,-1.74%,10派0.55,,--,,0.22,-33.69,,25862.27,03-31-2015,-6.62,,,8.98,,,
,,,,10派0.05,,--,,0.01,-93.22,,2144.25,03-31-2016,-91.71,,,0.59,,,
,,,,--,,--,,-0.61,-4265.75,,-89567.58,03-30-2017,-4277.11,,,-28.43,,,
-24.17%,-2.55%,-53.07%,21.81%,--,600397,--,89.1986,0.06,-379.7,*ST安煤,5588.7,08-22-2018,-379.34,-3.285,-3.691,6.8,sh600397,煤炭行业-未分组,煤炭及物资流通 煤炭工业-其他（补充）
82.01%,100.47%,79.96%,88.74%,--,,--,,0.1,-61.56,,9542.32,03-28-2014,-61.57,,,2.59,,,
-7.54%,-3.01%,-41.31%,37.27%,--,,--,,0.03,-70.85,,2786.61,04-16-2015,-70.8,,,0.79,,,
,,,,--,,--,,-2.08,-7491.46,,-205618.16,04-26-2016,-7478.79,,,-81.95,,,
,,,,--,,--,,-0.7,-66.44,,-69010.06,04-18-2017,-66.44,,,-60.61,,,
-19.73%,-4.10%,-3.30%,-26.14%,--,600398,--,55.0808,0.46,9.52,海澜之家,206601.07,08-30-2018,10.18,12.946,12.227,16.93,sh600398,未分组-其他,圣凯诺品牌 爱居兔品牌-其他(补充)
82.01%,100.47%,79.96%,88.74%,10派3.8,,--,,0.54,145.45,,237477.21,03-03-2014,1575.5,,,40.63,,,
-2.12%,-4.55%,20.93%,-16.77%,10派3.3,,--,,0.66,22.22,,295313.17,04-26-2015,24.35,,,40.02,,,
,,,,10派4.9,,--,,0.7,6.06,,312264.73,03-11-2016,5.74,,,34.64,,,
,,,,10派4.8,,--,,0.74,5.71,,332887.42,03-24-2017,6.6,,,32.51,,,
undefined,undefined,undefined,undefined,--,600399,--,114.1161,-0.05,-217.78,*ST抚钢,-6954.14,08-31-2018,-216.7,-5.34,-4.875,--,sh600399,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.5送4转11,,--,,0.09,101.79,,4696.02,03-27-2014,102.51,,,2.71,,,
NaN%,NaN%,NaN%,NaN%,10派0.35,,--,,0.23,158.67,,19673.28,03-30-2015,318.94,,,10.73,,,
,,,,--,,--,,0.09,-63.23,,11123.73,03-29-2016,-43.46,,,5.7,,,
,,,,--,,--,,-1.03,-1303.27,,-133758.53,06-26-2017,-1302.46,,,--,,,
-9.68%,-1.24%,-16.38%,9.94%,--,600400,--,15.6954,0.04,-85.71,红豆股份,10717.91,08-24-2018,-78.49,11.706,36.083,2.35,sh600400,服装行业-未分组,服装-纱线印染
82.01%,100.47%,79.96%,88.74%,10派0.5,,--,,0.12,33.33,,6553.4,03-16-2014,36.72,,,4.62,,,
10.13%,-1.71%,4.57%,23.89%,10派0.5转10,,--,,0.14,16.67,,8609.56,02-23-2015,31.38,,,4.8,,,
,,,,10派1转1,,--,,0.11,-21.43,,15941.77,03-29-2016,85.16,,,5.62,,,
,,,,10派2转4,,--,,0.34,209.09,,60803.74,03-28-2017,281.41,,,14.18,,,
undefined,undefined,undefined,undefined,--,600401,--,95.829,-0.13,19.13,*ST海润,-59740.78,08-31-2018,19.11,-1.673,-1.623,-67.23,sh600401,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10转20,,--,,-0.8,309.87,,-94759.55,04-23-2014,367.72,,,-35.98,,,
NaN%,NaN%,NaN%,NaN%,--,,--,,0.02,-102.53,,9608.09,04-23-2015,-110.14,,,1.96,,,
,,,,--,,--,,-0.25,-1329.56,,-117934.35,04-29-2016,-1327.45,,,-27.11,,,
,,,,--,,--,,-0.52,108.33,,-243640.53,04-28-2017,106.59,,,-101.96,,,
-6.88%,0.00%,-20.18%,0.00%,--,600403,--,55.9974,0.19,54.79,大有能源,44848.92,08-30-2018,54.8,20.65,15.451,6.24,sh600403,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.15,,--,,0.05,-90,,11056.69,04-15-2014,-90.74,,,1.11,,,
13.55%,-0.47%,-0.18%,12.69%,--,,--,,-0.54,-1180,,-128832.6,04-09-2015,-1265.2,,,-14.07,,,
,,,,--,,--,,-0.82,51.85,,-196263.13,03-24-2016,52.34,,,-26.13,,,
,,,,10派0.61,,--,,0.2,-124.39,,48039.15,03-30-2017,-124.48,,,7.01,,,
-36.55%,-0.88%,-50.17%,-17.03%,--,600405,--,51.5218,-0.09,33.33,动力源,-4405.6,08-30-2018,47.83,113.25,444.118,-3.23,sh600405,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,0.11,-8.47,,4568.78,04-17-2014,46.48,,,6.25,,,
-22.63%,-1.35%,-37.68%,-6.50%,10派0.4,,--,,0.12,8.33,,4990.54,03-30-2015,9.23,,,6.47,,,
,,,,--,,--,,0.06,-47.01,,2716.31,04-20-2016,-45.57,,,3.3,,,
,,,,--,,--,,0.04,-35.48,,1999.26,04-27-2017,-26.4,,,1.8,,,
2.33%,9.70%,4.85%,-0.31%,--,600406,--,43.4488,0.31,121.43,国电南瑞,135230.67,08-28-2018,286.84,21.038,19.592,6.13,sh600406,工程机械行业-未分组,电工电气装备制造业-其他（补充）
82.01%,100.47%,79.96%,88.74%,10派1.6,,--,,0.53,-19.7,,128305.94,03-28-2014,-19.82,,,19.4,,,
24.78%,9.18%,31.12%,12.34%,10派2.7,,--,,0.53,0,,129921.66,04-05-2015,1.26,,,17.09,,,
,,,,10派3,,--,,0.6,13.21,,144717.65,03-30-2016,11.39,,,17.23,,,
,,,,10派3.6,,--,,0.79,31.67,,324052.27,04-19-2017,123.92,,,16.38,,,
17.32%,3.47%,-34.36%,76.33%,--,600408,--,75.7048,0.44,-728.57,*ST安泰,44725.5,08-11-2018,-767.38,-10.643,12.912,49.31,sh600408,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,-0.68,183.33,,-68031.48,04-30-2014,179.98,,,-36.82,,,
43.06%,2.98%,-17.91%,98.70%,--,,--,,0.04,-105.88,,3789.92,03-05-2015,-105.57,,,2.49,,,
,,,,--,,--,,-0.58,-1550,,-58195.48,01-25-2016,-1635.53,,,-46.36,,,
,,,,--,,--,,-0.28,-51.72,,-28192.88,04-21-2017,-51.55,,,-34.21,,,
-15.88%,-0.38%,-35.34%,-14.99%,--,600409,--,54.918,0.57,9.81,三友化工,117874.47,08-24-2018,22.51,8.227,7.784,11.21,sh600409,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.8,,--,,0.26,7.19,,47715.1,04-28-2014,7.18,,,8.09,,,
2.57%,-0.85%,-19.14%,-4.20%,10派0.8,,--,,0.22,-13.53,,41260.72,03-31-2015,-13.53,,,6.62,,,
,,,,10派1.25,,--,,0.41,84.89,,76286,04-13-2016,84.89,,,11.47,,,
,,,,10派2.75,,--,,0.97,134.08,,188907.71,04-12-2017,147.63,,,22.31,,,
-33.89%,-5.85%,-22.53%,-26.63%,--,600410,--,52.3327,0.01,-92.86,华胜天成,1153.1,08-18-2018,-92.45,36.486,95.939,0.24,sh600410,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.62,,--,,0.15,128.99,,9513.36,04-10-2014,127.79,,,4.15,,,
-19.39%,-6.30%,-3.12%,-17.32%,10派0.5转4,,--,,0.08,-45.02,,5177.02,04-08-2015,-45.58,,,2.22,,,
,,,,10派0.3,,--,,0.04,-53.45,,3579.92,04-20-2016,-30.85,,,1.2,,,
,,,,10派0.63,,--,,0.21,448.15,,22802.79,04-20-2017,536.96,,,4.7,,,
-23.91%,-1.46%,-42.18%,-14.95%,--,600415,--,48.7002,0.22,15.79,小商品城,121390.47,08-22-2018,17.25,14.963,13.426,10.33,sh600415,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派1.2送10,,--,,0.15,-42.31,,40895.91,03-28-2014,-42.19,,,4.69,,,
-7.22%,-1.93%,-27.69%,-4.16%,10派0.5,,--,,0.13,-13.33,,68840.19,03-30-2015,68.33,,,7.57,,,
,,,,10派0.6,,--,,0.19,46.15,,106027.46,03-30-2016,54.02,,,10.81,,,
,,,,10派0.81,,--,,0.27,42.11,,145936.45,04-11-2017,37.64,,,13.68,,,
-26.74%,1.72%,-41.70%,-15.61%,--,600416,--,70.4124,-0.23,-1250,湘电股份,-22124.94,08-28-2018,-1244.71,70.8,-44.839,-3.47,sh600416,工程机械行业-未分组,机械行业-其他（补充）
82.01%,100.47%,79.96%,88.74%,10派0.3,,--,,0.09,12.5,,5440.04,04-24-2014,13.14,,,2.57,,,
-10.67%,1.24%,-27.09%,-4.90%,10派0.3,,--,,0.09,0,,6348.28,02-25-2015,16.7,,,1.79,,,
,,,,10派0.5,,--,,0.17,88.89,,13877.86,03-30-2016,118.61,,,3.07,,,
,,,,10派0.3,,--,,0.1,-41.18,,9119.73,03-30-2017,-34.29,,,1.36,,,
-35.43%,0.00%,-51.12%,-28.17%,--,600418,--,68.5942,0.09,-50,江淮汽车,16346.27,08-30-2018,-52.58,22.826,39.653,1.17,sh600418,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派1.1,,--,,0.41,-42.25,,52870,04-29-2014,-42.36,,,7.69,,,
-21.27%,-0.47%,-38.87%,-19.06%,10派1.8,,--,,0.59,43.9,,85758.18,04-29-2015,62.21,,,10.58,,,
,,,,10派1.9,,--,,0.72,22.03,,116196.57,03-22-2016,35.49,,,11.26,,,
,,,,10派0.7,,--,,0.23,-68.06,,43189.18,03-21-2017,-62.83,,,3.12,,,
-29.59%,5.21%,-39.13%,-31.93%,--,600419,--,35.8112,0.34,-41.38,天润乳业,6967.82,08-24-2018,16.42,15.344,17.305,8.13,sh600419,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,0.15,-62.5,,1256.02,03-20-2014,-63.95,,,4.83,,,
-14.15%,4.71%,-23.88%,-23.29%,--,,--,,0.55,266.67,,5086.08,03-29-2015,304.94,,,11.7,,,
,,,,--,,--,,0.76,38.18,,7827.33,03-30-2016,53.9,,,11.2,,,
,,,,10派2.9转10,,--,,0.96,26.32,,9912.65,03-27-2017,26.64,,,12.59,,,
-16.08%,-3.47%,-35.48%,-13.18%,--,600420,--,50.8602,0.37,14.95,现代制药,41038.55,08-17-2018,14.87,20.977,19.021,6.43,sh600420,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派2,,--,,0.66,43.08,,18999.1,04-09-2014,43.08,,,17.69,,,
2.33%,-3.93%,-19.31%,-2.16%,10派0.5,,--,,0.77,16.36,,22105.27,04-08-2015,16.35,,,17.72,,,
,,,,10派2.6转10,,--,,0.98,27.67,,47693.37,03-23-2016,115.76,,,9.38,,,
,,,,10派0.5,,--,,0.46,-52.61,,51580.26,03-22-2017,8.15,,,8.78,,,
-35.04%,1.37%,-65.28%,-17.49%,--,600421,--,72.8092,-0.02,183.33,ST仰帆,-339.52,08-25-2018,211.46,-129.75,-94.881,--,sh600421,undefined,undefined
82.01%,100.47%,79.96%,88.74%,--,,--,,0.01,-85.71,,216.97,04-30-2014,-84.27,,,49.63,,,
-20.79%,0.89%,-56.58%,-7.02%,--,,--,,0,-90,,18.69,04-28-2015,-91.38,,,3.37,,,
,,,,--,,--,,0.02,1900,,321,04-27-2016,1617.28,,,44.28,,,
,,,,--,,--,,-0.04,-300,,-839.66,04-28-2017,-361.57,,,-180.36,,,
-22.08%,0.27%,-38.58%,-10.71%,--,600422,--,43.7439,0.23,-16.1,昆药集团,18059.78,08-11-2018,-16.2,17.472,19.573,4.84,sh600422,商贸业-未分组-其他,药品批发与零售-针剂 其他（补充）-其他
82.01%,100.47%,79.96%,88.74%,10派1.7,,--,,0.86,20.36,,29223.73,03-12-2014,26.17,,,15.84,,,
-4.99%,-0.20%,-23.19%,0.62%,10派4.1转10,,--,,1.07,24.57,,42085.08,03-31-2015,44.01,,,18.37,,,
,,,,10派1.8,,--,,0.52,-51.61,,40725.61,03-25-2016,-3.23,,,11.9,,,
,,,,--,,--,,0.42,-18.65,,33009.66,03-30-2017,-18.95,,,9.15,,,
undefined,undefined,undefined,undefined,--,600423,--,99.469,-0.06,-72.73,*ST柳化,-2532.68,08-16-2018,-71.19,32.2,15.536,-97.52,sh600423,化工行业,化肥行业
82.01%,100.47%,79.96%,88.74%,10派0.5,,--,,0.02,-105.37,,879.17,03-06-2014,-105.91,,,0.56,,,
NaN%,NaN%,NaN%,NaN%,--,,--,,-1.22,-6200,,-48555.24,04-30-2015,-5622.86,,,-46.25,,,
,,,,--,,--,,-2.04,67.21,,-81623.98,04-29-2016,68.11,,,--,,,
,,,,--,,--,,0.15,-107.35,,6155.15,02-10-2017,-107.54,,,982.14,,,
-17.58%,-6.83%,-23.47%,-5.96%,--,600425,--,57.5592,0.05,-153.93,青松建化,6616.05,07-26-2018,-153.84,75,17.261,1.62,sh600425,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派0.4,,--,,0,-93.33,,644.24,04-11-2014,-92.56,,,0.12,,,
0.50%,-7.27%,-4.29%,5.97%,--,,--,,-0.49,-12350,,-68079.86,04-09-2015,-10667.51,,,-13.78,,,
,,,,--,,--,,-0.42,-14.29,,-57554.52,04-08-2016,-15.46,,,-13.43,,,
,,,,--,,--,,0.04,-109.52,,5060.42,04-21-2017,-108.79,,,1.26,,,
-15.43%,-15.23%,26.37%,-21.38%,--,600426,--,39.752,1.04,207.72,华鲁恒升,168005.61,08-10-2018,207.98,20,10.369,16.59,sh600426,undefined,undefined
82.01%,100.47%,79.96%,88.74%,10派1.5,,--,,0.84,64.52,,80442.8,04-02-2014,64.33,,,12.92,,,
3.12%,-15.63%,58.04%,-11.40%,10派1送3,,--,,0.95,12.44,,90464.94,03-18-2015,12.46,,,12.98,,,
,,,,10派1转3,,--,,0.7,-26.03,,87549.05,03-30-2016,-3.22,,,11.27,,,
,,,,10派1.5,,--,,0.75,7.41,,122205.18,03-30-2017,39.58,,,14.02,,,
-32.61%,0.00%,-51.05%,-9.87%,--,600428,--,55.4011,0.03,-17.65,中远海特,5934,08-30-2018,-17.86,32.072,34.002,0.62,sh600428,物流、运输业,非航运主业 航运主业
82.01%,100.47%,79.96%,88.74%,10派0.2,,--,,0.12,515.79,,19782.56,03-31-2014,506.11,,,3.04,,,
-17.83%,-0.47%,-38.78%,1.57%,10派0.1,,--,,0.09,-26.5,,14558.14,04-09-2015,-26.41,,,2.21,,,
,,,,--,,--,,0.02,-72.09,,5026.09,04-01-2016,-65.48,,,0.56,,,
,,,,10派0.2,,--,,0.11,362.5,,23756.05,03-31-2017,372.65,,,2.52,,,
-11.00%,0.76%,-22.25%,-15.28%,--,600429,--,58.0809,0.08,261.04,三元股份,12488.25,08-30-2018,261.64,103.333,50.238,2.56,sh600429,未分组-乳业,太子奶分部 液态奶分部-奶粉及奶制品分部
82.01%,100.47%,79.96%,88.74%,--,,--,,0.06,-123.52,,5327.97,04-29-2014,-123.52,,,3.45,,,
8.52%,0.28%,-2.77%,-4.53%,--,,--,,0.06,-6.31,,7873.4,04-27-2015,47.77,,,1.6,,,
,,,,--,,--,,0.07,24.82,,10542.06,04-28-2016,33.89,,,1.93,,,
,,,,10派0.17,,--,,0.05,-27.56,,7601.88,04-28-2017,-27.89,,,1.59,,,
